Accession	TF	Tissue	Cell	File	CellDeriv	IMPACT_new
GSM1348521	ESR1	BREAST	MCF-7	PRJNA241318_GSM1348521_ESR1_peaks.narrowPeak	Breast	11
GSM1348522	ESR1	BREAST	MCF-7	PRJNA241318_GSM1348522_ESR1_peaks.narrowPeak	Breast	11
GSM1348523	ESR1	BREAST	MCF-7	PRJNA241318_GSM1348523_ESR1_peaks.narrowPeak	Breast	11
GSM1348524	ESR1	BREAST	MCF-7	PRJNA241318_GSM1348524_ESR1_peaks.narrowPeak	Breast	11
GSM1348525	ESR1	BREAST	MCF-7	PRJNA241318_GSM1348525_ESR1_peaks.narrowPeak	Breast	11
GSM1348526	ESR1	BREAST	MCF-7	PRJNA241318_GSM1348526_ESR1_peaks.narrowPeak	Breast	11
GSM1534720	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534720_ESR1_peaks.narrowPeak	Breast	11
GSM1534721	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534721_ESR1_peaks.narrowPeak	Breast	11
GSM1534722	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534722_ESR1_peaks.narrowPeak	Breast	11
GSM1534723	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534723_ESR1_peaks.narrowPeak	Breast	11
GSM1534724	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534724_ESR1_peaks.narrowPeak	Breast	11
GSM1534725	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534725_ESR1_peaks.narrowPeak	Breast	11
GSM1534726	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534726_ESR1_peaks.narrowPeak	Breast	11
GSM1534727	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534727_ESR1_peaks.narrowPeak	Breast	11
GSM1534746	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534746_ESR1_peaks.narrowPeak	Breast	11
GSM1534747	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534747_ESR1_peaks.narrowPeak	Breast	11
GSM1534751	ESR1	BREAST	MCF-7	PRJNA255509_GSM1534751_ESR1_peaks.narrowPeak	Breast	11
GSM589238	ESR1	BREAST	T-47D	PRJNA130441_GSM589238_ESR1_peaks.narrowPeak	Breast	12
GSM589239	ESR1	BREAST	T-47D	PRJNA130441_GSM589239_ESR1_peaks.narrowPeak	Breast	12
GSM798428	ESR1	BREAST	T-47D	PRJNA147213_GSM798428_ESR1_peaks.narrowPeak	Breast	12
GSM798429	ESR1	BREAST	T-47D	PRJNA147213_GSM798429_ESR1_peaks.narrowPeak	Breast	12
GSM589240	ESR1	BREAST	Ishikawa	PRJNA130441_GSM589240_ESR1_peaks.narrowPeak	Breast	13
GSM589241	ESR1	BREAST	Ishikawa	PRJNA130441_GSM589241_ESR1_peaks.narrowPeak	Breast	13
GSM589242	ESR1	BREAST	ECC-1	PRJNA130441_GSM589242_ESR1_peaks.narrowPeak	Endometrium	14
GSM589243	ESR1	BREAST	ECC-1	PRJNA130441_GSM589243_ESR1_peaks.narrowPeak	Endometrium	14
GSM586887	CTCF	PANCREAS	Pancreatic islets	PRJNA130725_GSM586887_CTCF_peaks.narrowPeak	Pancreatic islets	15
GSM586888	CTCF	PANCREAS	Pancreatic islets	PRJNA130725_GSM586888_CTCF_peaks.narrowPeak	Pancreatic islets	15
GSM575224	CDX2	GI	Caco-2	PRJNA131107_GSM575224_CDX2_peaks.narrowPeak	Colon	16
GSM575225	CDX2	GI	Caco-2	PRJNA131107_GSM575225_CDX2_peaks.narrowPeak	Colon	16
GSM575226	GATA6	GI	Caco-2	PRJNA131107_GSM575226_GATA6_peaks.narrowPeak	Colon	17
GSM575227	GATA6	GI	Caco-2	PRJNA131107_GSM575227_GATA6_peaks.narrowPeak	Colon	17
GSM575228	HNF4A	GI	Caco-2	PRJNA131107_GSM575228_HNF4A_peaks.narrowPeak	Colon	18
GSM575229	HNF4A	GI	Caco-2	PRJNA131107_GSM575229_HNF4A_peaks.narrowPeak	Colon	18
GSM612960	GABPA	BLOOD	CD34 Hematopoietic stem cells	PRJNA131925_GSM612960_GABPA_peaks.narrowPeak	Hematopoietic progenitors	19
GSM607949	GATA1	BLOOD	CD34+	PRJNA132361_GSM607949_GATA1_peaks.narrowPeak	Hematopoietic progenitors	20
GSM722392	GATA1	BLOOD	CD34+	PRJNA142953_GSM722392_GATA1_peaks.narrowPeak	Hematopoietic progenitors	20
GSM722393	GATA1	BLOOD	CD34+	PRJNA142953_GSM722393_GATA1_peaks.narrowPeak	Hematopoietic progenitors	20
GSM722394	GATA1	BLOOD	CD34+	PRJNA142953_GSM722394_GATA1_peaks.narrowPeak	Hematopoietic progenitors	20
GSM722395	GATA1	BLOOD	CD34+	PRJNA142953_GSM722395_GATA1_peaks.narrowPeak	Hematopoietic progenitors	20
GSM970257	GATA1	BLOOD	CD34+	PRJNA157469_GSM970257_GATA1_peaks.narrowPeak	Hematopoietic progenitors	20
GSM970258	GATA1	BLOOD	CD34+	PRJNA157469_GSM970258_GATA1_peaks.narrowPeak	Hematopoietic progenitors	20
GSM1278240	GATA1	BLOOD	CD34+	PRJNA230472_GSM1278240_GATA1_peaks.narrowPeak	Hematopoietic progenitors	20
GSM607950	GATA2	BLOOD	CD34+	PRJNA132361_GSM607950_GATA2_peaks.narrowPeak	Hematopoietic progenitors	21
GSM1097883	GATA2	BLOOD	CD34+	PRJNA193088_GSM1097883_GATA2_peaks.narrowPeak	Hematopoietic progenitors	21
GSM607951	RUNX1	BLOOD	CD34+	PRJNA132361_GSM607951_RUNX1_peaks.narrowPeak	Hematopoietic progenitors	22
GSM722708	RUNX1	BLOOD	CD34+	PRJNA142965_GSM722708_RUNX1_peaks.narrowPeak	Hematopoietic progenitors	22
GSM1097884	RUNX1	BLOOD	CD34+	PRJNA193088_GSM1097884_RUNX1_peaks.narrowPeak	Hematopoietic progenitors	22
GSM607952	FLI1	BLOOD	CD34+	PRJNA132361_GSM607952_FLI1_peaks.narrowPeak	Hematopoietic progenitors	23
GSM1097880	FLI1	BLOOD	CD34+	PRJNA193088_GSM1097880_FLI1_peaks.narrowPeak	Hematopoietic progenitors	23
GSM599837	E2F4	ADIPOCYTE	Adipocytes	PRJNA132733_GSM599837_E2F4_peaks.narrowPeak	Adipocytes	24
GSM599838	CEBPA	ADIPOCYTE	Adipocytes	PRJNA132733_GSM599838_CEBPA_peaks.narrowPeak	Adipocytes	25
GSM599839	HSF1	ADIPOCYTE	Adipocytes	PRJNA132733_GSM599839_HSF1_peaks.narrowPeak	Adipocytes	26
GSM610330	RUNX1	BLOOD	CMK	PRJNA133387_GSM610330_RUNX1_peaks.narrowPeak	Hematopoietic progenitors	27
GSM610332	RUNX1	BLOOD	K-562	PRJNA133387_GSM610332_RUNX1_peaks.narrowPeak	Myeloid	28
GSM610334	RUNX1	BLOOD	K-562	PRJNA133387_GSM610334_RUNX1_peaks.narrowPeak	Myeloid	28
GSM610335	GATA1	BLOOD	K-562	PRJNA133387_GSM610335_GATA1_peaks.narrowPeak	Myeloid	29
GSM722412	GATA1	BLOOD	K-562	PRJNA142955_GSM722412_GATA1_peaks.narrowPeak	Myeloid	29
GSM722413	GATA1	BLOOD	K-562	PRJNA142955_GSM722413_GATA1_peaks.narrowPeak	Myeloid	29
GSM788367	GATA1	BLOOD	K-562	PRJNA142955_GSM788367_GATA1_peaks.narrowPeak	Myeloid	29
GSM1003608	GATA1	BLOOD	K-562	PRJNA63447_GSM1003608_GATA1_peaks.narrowPeak	Myeloid	29
GSM467647	GATA1	BLOOD	K-562	PRJNA63447_GSM467647_GATA1_peaks.narrowPeak	Myeloid	29
GSM935540	GATA1	BLOOD	K-562	PRJNA63447_GSM935540_GATA1_peaks.narrowPeak	Myeloid	29
GSM610336	FOS	BLOOD	K-562	PRJNA133387_GSM610336_FOS_peaks.narrowPeak	Myeloid	30
GSM610337	FOS	BLOOD	K-562	PRJNA133387_GSM610337_FOS_peaks.narrowPeak	Myeloid	30
GSM487426	FOS	BLOOD	K-562	PRJNA63447_GSM487426_FOS_peaks.narrowPeak	Myeloid	30
GSM777644	FOS	BLOOD	K-562	PRJNA63447_GSM777644_FOS_peaks.narrowPeak	Myeloid	30
GSM935355	FOS	BLOOD	K-562	PRJNA63447_GSM935355_FOS_peaks.narrowPeak	Myeloid	30
GSM640691	EOMES	STEMCELL	hESC derived mesendodermal cells	PRJNA135173_GSM640691_EOMES_peaks.narrowPeak	Mesendoderm	31
GSM1505628	EOMES	STEMCELL	hESC derived mesendodermal cells	PRJNA261253_GSM1505628_EOMES_peaks.narrowPeak	Mesendoderm	31
GSM1505629	EOMES	STEMCELL	hESC derived mesendodermal cells	PRJNA261253_GSM1505629_EOMES_peaks.narrowPeak	Mesendoderm	31
GSM1505630	EOMES	STEMCELL	hESC derived mesendodermal cells	PRJNA261253_GSM1505630_EOMES_peaks.narrowPeak	Mesendoderm	31
GSM1505631	EOMES	STEMCELL	hESC derived mesendodermal cells	PRJNA261253_GSM1505631_EOMES_peaks.narrowPeak	Mesendoderm	31
GSM640427	BCL6	BLOOD	JURL-MK1	PRJNA135225_GSM640427_BCL6_peaks.narrowPeak	Myeloid	32
GSM638310	SPI1	BLOOD	Hematopoietic Stem Cells	PRJNA135475_GSM638310_SPI1_peaks.narrowPeak	Hematopoietic progenitors	33
GSM638311	SPI1	BLOOD	Hematopoietic Stem Cells	PRJNA135475_GSM638311_SPI1_peaks.narrowPeak	Hematopoietic progenitors	33
GSM638314	MEIS1	BLOOD	Hematopoietic Stem Cells	PRJNA135475_GSM638314_MEIS1_peaks.narrowPeak	Hematopoietic progenitors	34
GSM638315	MEIS1	BLOOD	Hematopoietic Stem Cells	PRJNA135475_GSM638315_MEIS1_peaks.narrowPeak	Hematopoietic progenitors	34
GSM638316	MEIS1	BLOOD	Hematopoietic Stem Cells	PRJNA135475_GSM638316_MEIS1_peaks.narrowPeak	Hematopoietic progenitors	34
GSM634613	FOXA2	LIVER	Liver	PRJNA135749_GSM634613_FOXA2_peaks.narrowPeak	Liver	35
GSM634614	FOXA2	LIVER	Liver	PRJNA135749_GSM634614_FOXA2_peaks.narrowPeak	Liver	35
GSM634615	FOXA2	LIVER	Liver	PRJNA135749_GSM634615_FOXA2_peaks.narrowPeak	Liver	35
GSM634616	FOXA2	LIVER	Liver	PRJNA135749_GSM634616_FOXA2_peaks.narrowPeak	Liver	35
GSM634629	PPARG	ADIPOCYTE	SGBS	PRJNA135749_GSM634629_PPARG_peaks.narrowPeak	Adipocytes	36
GSM634630	PPARG	ADIPOCYTE	SGBS	PRJNA135749_GSM634630_PPARG_peaks.narrowPeak	Adipocytes	36
GSM1020363	PPARG	ADIPOCYTE	SGBS	PRJNA177774_GSM1020363_PPARG_peaks.narrowPeak	Adipocytes	36
GSM651541	CTCF	BLOOD	CD34+	PRJNA136673_GSM651541_CTCF_peaks.narrowPeak	Hematopoietic progenitors	37
GSM651542	CTCF	BLOOD	CD36+	PRJNA136673_GSM651542_CTCF_peaks.narrowPeak	Bone marrow	38
GSM651543	CTCF	BLOOD	CD36+	PRJNA136673_GSM651543_CTCF_peaks.narrowPeak	Bone marrow	38
GSM651546	GATA1	BLOOD	CD36+	PRJNA136673_GSM651546_GATA1_peaks.narrowPeak	Bone marrow	39
GSM651547	GATA1	BLOOD	CD36+	PRJNA136673_GSM651547_GATA1_peaks.narrowPeak	Bone marrow	39
GSM648587	NFYA	BLOOD	K-562	PRJNA136821_GSM648587_NFYA_peaks.narrowPeak	Myeloid	40
GSM935433	NFYA	BLOOD	K-562	PRJNA63447_GSM935433_NFYA_peaks.narrowPeak	Myeloid	40
GSM648588	NFYB	BLOOD	K-562	PRJNA136821_GSM648588_NFYB_peaks.narrowPeak	Myeloid	41
GSM935429	NFYB	BLOOD	K-562	PRJNA63447_GSM935429_NFYB_peaks.narrowPeak	Myeloid	41
GSM700360	ELK4	KIDNEY	HEK293	PRJNA137849_GSM700360_ELK4_peaks.narrowPeak	Embryonic Kidney	42
GSM700361	ELK4	KIDNEY	HEK293	PRJNA137849_GSM700361_ELK4_peaks.narrowPeak	Embryonic Kidney	42
GSM935590	ELK4	KIDNEY	HEK293	PRJNA63447_GSM935590_ELK4_peaks.narrowPeak	Embryonic Kidney	42
GSM763402	BCL6	BLOOD	OCI-LY1	PRJNA138597_GSM763402_BCL6_peaks.narrowPeak	B cell	43
GSM763404	BCL6	BLOOD	OCI-LY1	PRJNA138597_GSM763404_BCL6_peaks.narrowPeak	B cell	43
GSM1133657	BCL6	BLOOD	OCI-LY1	PRJNA201426_GSM1133657_BCL6_peaks.narrowPeak	B cell	43
GSM699634	FOXA1	PROSTATE	LNCAP	PRJNA139277_GSM699634_FOXA1_peaks.narrowPeak	Prostate	44
GSM699635	FOXA1	PROSTATE	LNCAP	PRJNA139277_GSM699635_FOXA1_peaks.narrowPeak	Prostate	44
GSM759661	FOXA1	PROSTATE	LNCAP	PRJNA154785_GSM759661_FOXA1_peaks.narrowPeak	Prostate	44
GSM759662	FOXA1	PROSTATE	LNCAP	PRJNA154785_GSM759662_FOXA1_peaks.narrowPeak	Prostate	44
GSM759663	FOXA1	PROSTATE	LNCAP	PRJNA154785_GSM759663_FOXA1_peaks.narrowPeak	Prostate	44
GSM759664	FOXA1	PROSTATE	LNCAP	PRJNA154785_GSM759664_FOXA1_peaks.narrowPeak	Prostate	44
GSM916523	FOXA1	PROSTATE	LNCAP	PRJNA159621_GSM916523_FOXA1_peaks.narrowPeak	Prostate	44
GSM916524	FOXA1	PROSTATE	LNCAP	PRJNA159621_GSM916524_FOXA1_peaks.narrowPeak	Prostate	44
GSM1410788	FOXA1	PROSTATE	LNCAP	PRJNA252585_GSM1410788_FOXA1_peaks.narrowPeak	Prostate	44
GSM1410789	FOXA1	PROSTATE	LNCAP	PRJNA252585_GSM1410789_FOXA1_peaks.narrowPeak	Prostate	44
GSM701863	E2F6	BLOOD	K-562	PRJNA139505_GSM701863_E2F6_peaks.narrowPeak	Myeloid	45
GSM803469	E2F6	BLOOD	K-562	PRJNA63447_GSM803469_E2F6_peaks.narrowPeak	Myeloid	45
GSM935597	E2F6	BLOOD	K-562	PRJNA63447_GSM935597_E2F6_peaks.narrowPeak	Myeloid	45
GSM714610	TFAP4	PROSTATE	LNCAP	PRJNA140689_GSM714610_TFAP4_peaks.narrowPeak	Prostate	46
GSM738817	ETV4	PROSTATE	PC-3	PRJNA140921_GSM738817_ETV4_peaks.narrowPeak	Prostate	47
GSM738818	JUND	PROSTATE	PC-3	PRJNA140921_GSM738818_JUND_peaks.narrowPeak	Prostate	48
GSM738821	ETS1	PROSTATE	RWPE-1	PRJNA140921_GSM738821_ETS1_peaks.narrowPeak	Prostate	49
GSM738822	GABPA	PROSTATE	RWPE-1	PRJNA140921_GSM738822_GABPA_peaks.narrowPeak	Prostate	50
GSM738823	ERG	PROSTATE	RWPE-1	PRJNA140921_GSM738823_ERG_peaks.narrowPeak	Prostate	51
GSM927071	ERG	PROSTATE	RWPE-1	PRJNA163079_GSM927071_ERG_peaks.narrowPeak	Prostate	51
GSM738824	ETV1	PROSTATE	RWPE-1	PRJNA140921_GSM738824_ETV1_peaks.narrowPeak	Prostate	52
GSM727559	SMAD3	STEMCELL	hESC H9	PRJNA141533_GSM727559_SMAD3_peaks.narrowPeak	Stem cell	53
GSM727561	SMAD4	STEMCELL	hESC H9	PRJNA141533_GSM727561_SMAD4_peaks.narrowPeak	Stem cell	54
GSM727564	FOXH1	STEMCELL	hESC H9	PRJNA141533_GSM727564_FOXH1_peaks.narrowPeak	Stem cell	55
GSM727585	SMAD3	STEMCELL	hESC derived mesendodermal cells	PRJNA141533_GSM727585_SMAD3_peaks.narrowPeak	Mesendoderm	56
GSM897116	SMAD3	STEMCELL	hESC derived mesendodermal cells	PRJNA153739_GSM897116_SMAD3_peaks.narrowPeak	Mesendoderm	56
GSM897117	SMAD3	STEMCELL	hESC derived mesendodermal cells	PRJNA153739_GSM897117_SMAD3_peaks.narrowPeak	Mesendoderm	56
GSM897118	SMAD3	STEMCELL	hESC derived mesendodermal cells	PRJNA153739_GSM897118_SMAD3_peaks.narrowPeak	Mesendoderm	56
GSM727586	SMAD4	STEMCELL	hESC derived mesendodermal cells	PRJNA141533_GSM727586_SMAD4_peaks.narrowPeak	Mesendoderm	57
GSM1505752	SMAD4	STEMCELL	hESC derived mesendodermal cells	PRJNA261253_GSM1505752_SMAD4_peaks.narrowPeak	Mesendoderm	57
GSM1505753	SMAD4	STEMCELL	hESC derived mesendodermal cells	PRJNA261253_GSM1505753_SMAD4_peaks.narrowPeak	Mesendoderm	57
GSM1505754	SMAD4	STEMCELL	hESC derived mesendodermal cells	PRJNA261253_GSM1505754_SMAD4_peaks.narrowPeak	Mesendoderm	57
GSM1505756	SMAD4	STEMCELL	hESC derived mesendodermal cells	PRJNA261253_GSM1505756_SMAD4_peaks.narrowPeak	Mesendoderm	57
GSM727589	FOXH1	STEMCELL	hESC derived mesendodermal cells	PRJNA141533_GSM727589_FOXH1_peaks.narrowPeak	Mesendoderm	58
GSM678268	VDR	BLOOD	THP-1	PRJNA141853_GSM678268_VDR_peaks.narrowPeak	Monocyte	59
GSM678269	VDR	BLOOD	THP-1	PRJNA141853_GSM678269_VDR_peaks.narrowPeak	Monocyte	59
GSM624141	PPARG	BLOOD	THP-1	PRJNA142611_GSM624141_PPARG_peaks.narrowPeak	Monocyte	60
GSM624143	SPI1	BLOOD	THP-1	PRJNA142611_GSM624143_SPI1_peaks.narrowPeak	Monocyte	61
GSM717395	ERG	PROSTATE	VCaP	PRJNA142869_GSM717395_ERG_peaks.narrowPeak	Prostate	62
GSM717396	ERG	PROSTATE	VCaP	PRJNA142869_GSM717396_ERG_peaks.narrowPeak	Prostate	62
GSM717397	ERG	PROSTATE	VCaP	PRJNA142869_GSM717397_ERG_peaks.narrowPeak	Prostate	62
GSM1193656	ERG	PROSTATE	VCaP	PRJNA213143_GSM1193656_ERG_peaks.narrowPeak	Prostate	62
GSM1193657	ERG	PROSTATE	VCaP	PRJNA213143_GSM1193657_ERG_peaks.narrowPeak	Prostate	62
GSM1193658	ERG	PROSTATE	VCaP	PRJNA213143_GSM1193658_ERG_peaks.narrowPeak	Prostate	62
GSM1328978	ERG	PROSTATE	VCaP	PRJNA238361_GSM1328978_ERG_peaks.narrowPeak	Prostate	62
GSM1328979	ERG	PROSTATE	VCaP	PRJNA238361_GSM1328979_ERG_peaks.narrowPeak	Prostate	62
GSM1328980	ERG	PROSTATE	VCaP	PRJNA238361_GSM1328980_ERG_peaks.narrowPeak	Prostate	62
GSM1328981	ERG	PROSTATE	VCaP	PRJNA238361_GSM1328981_ERG_peaks.narrowPeak	Prostate	62
GSM722396	GATA2	BLOOD	CD34 Hematopoietic stem cells	PRJNA142953_GSM722396_GATA2_peaks.narrowPeak	Hematopoietic progenitors	63
GSM722414	GATA2	BLOOD	K-562	PRJNA142955_GSM722414_GATA2_peaks.narrowPeak	Myeloid	64
GSM722415	GATA2	BLOOD	K-562	PRJNA142955_GSM722415_GATA2_peaks.narrowPeak	Myeloid	64
GSM788368	GATA2	BLOOD	K-562	PRJNA142955_GSM788368_GATA2_peaks.narrowPeak	Myeloid	64
GSM467648	GATA2	BLOOD	K-562	PRJNA63447_GSM467648_GATA2_peaks.narrowPeak	Myeloid	64
GSM777641	GATA2	BLOOD	K-562	PRJNA63447_GSM777641_GATA2_peaks.narrowPeak	Myeloid	64
GSM803540	GATA2	BLOOD	K-562	PRJNA63447_GSM803540_GATA2_peaks.narrowPeak	Myeloid	64
GSM935373	GATA2	BLOOD	K-562	PRJNA63447_GSM935373_GATA2_peaks.narrowPeak	Myeloid	64
GSM722423	CEBPA	BLOOD	U-937	PRJNA142955_GSM722423_CEBPA_peaks.narrowPeak	Lymphocyte	65
GSM722424	CEBPA	BLOOD	U-937	PRJNA142955_GSM722424_CEBPA_peaks.narrowPeak	Lymphocyte	65
GSM788369	CEBPA	BLOOD	U-937	PRJNA142955_GSM788369_CEBPA_peaks.narrowPeak	Lymphocyte	65
GSM788364	CEBPA	BLOOD	K-562	PRJNA142955_GSM788364_CEBPA_peaks.narrowPeak	Myeloid	66
GSM722704	RUNX1	BLOOD	Kasumi-1	PRJNA142965_GSM722704_RUNX1_peaks.narrowPeak	Myeloid	67
GSM722705	RUNX1	BLOOD	Kasumi-1	PRJNA142965_GSM722705_RUNX1_peaks.narrowPeak	Myeloid	67
GSM722706	RUNX1	BLOOD	Kasumi-1	PRJNA142965_GSM722706_RUNX1_peaks.narrowPeak	Myeloid	67
GSM722707	RUNX1	BLOOD	Kasumi-1	PRJNA142965_GSM722707_RUNX1_peaks.narrowPeak	Myeloid	67
