Accession	TF	Tissue	Cell	IMPACT	File	CellDeriv
GSM586887	CTCF	PANCREAS	Pancreatic islets	15	PRJNA130725_GSM586887_CTCF_peaks.narrowPeak	Pancreatic islets
GSM586888	CTCF	PANCREAS	Pancreatic islets	15	PRJNA130725_GSM586888_CTCF_peaks.narrowPeak	Pancreatic islets
GSM575224	CDX2	GI	Caco-2	16	PRJNA131107_GSM575224_CDX2_peaks.narrowPeak	Colon
GSM575225	CDX2	GI	Caco-2	16	PRJNA131107_GSM575225_CDX2_peaks.narrowPeak	Colon
GSM575226	GATA6	GI	Caco-2	17	PRJNA131107_GSM575226_GATA6_peaks.narrowPeak	Colon
GSM575227	GATA6	GI	Caco-2	17	PRJNA131107_GSM575227_GATA6_peaks.narrowPeak	Colon
GSM575228	HNF4A	GI	Caco-2	18	PRJNA131107_GSM575228_HNF4A_peaks.narrowPeak	Colon
GSM575229	HNF4A	GI	Caco-2	18	PRJNA131107_GSM575229_HNF4A_peaks.narrowPeak	Colon
GSM612960	GABPA	BLOOD	CD34 Hematopoietic stem cells	19	PRJNA131925_GSM612960_GABPA_peaks.narrowPeak	Hematopoietic progenitors 
GSM607949	GATA1	BLOOD	CD34+	20	PRJNA132361_GSM607949_GATA1_peaks.narrowPeak	Hematopoietic progenitors 
GSM607950	GATA2	BLOOD	CD34+	21	PRJNA132361_GSM607950_GATA2_peaks.narrowPeak	Hematopoietic progenitors 
GSM607951	RUNX1	BLOOD	CD34+	22	PRJNA132361_GSM607951_RUNX1_peaks.narrowPeak	Hematopoietic progenitors 
GSM607952	FLI1	BLOOD	CD34+	23	PRJNA132361_GSM607952_FLI1_peaks.narrowPeak	Hematopoietic progenitors 
GSM599837	E2F4	ADIPOCYTE	Adipocytes	24	PRJNA132733_GSM599837_E2F4_peaks.narrowPeak	Adipocytes
GSM599838	CEBPA	ADIPOCYTE	Adipocytes	25	PRJNA132733_GSM599838_CEBPA_peaks.narrowPeak	Adipocytes
GSM599839	HSF1	ADIPOCYTE	Adipocytes	26	PRJNA132733_GSM599839_HSF1_peaks.narrowPeak	Adipocytes
GSM610330	RUNX1	BLOOD	CMK	27	PRJNA133387_GSM610330_RUNX1_peaks.narrowPeak	Hematopoietic progenitors 
GSM610332	RUNX1	BLOOD	K-562	28	PRJNA133387_GSM610332_RUNX1_peaks.narrowPeak	Myeloid
GSM610334	RUNX1	BLOOD	K-562	28	PRJNA133387_GSM610334_RUNX1_peaks.narrowPeak	Myeloid
GSM610335	GATA1	BLOOD	K-562	29	PRJNA133387_GSM610335_GATA1_peaks.narrowPeak	Myeloid
GSM610336	FOS	BLOOD	K-562	30	PRJNA133387_GSM610336_FOS_peaks.narrowPeak	Myeloid
GSM610337	FOS	BLOOD	K-562	30	PRJNA133387_GSM610337_FOS_peaks.narrowPeak	Myeloid
GSM640691	EOMES	STEMCELL	hESC derived mesendodermal cells	31	PRJNA135173_GSM640691_EOMES_peaks.narrowPeak	Mesendoderm
GSM640427	BCL6	BLOOD	JURL-MK1	32	PRJNA135225_GSM640427_BCL6_peaks.narrowPeak	Myeloid
GSM638310	SPI1	BLOOD	Hematopoietic Stem Cells	33	PRJNA135475_GSM638310_SPI1_peaks.narrowPeak	Hematopoietic progenitors 
GSM638311	SPI1	BLOOD	Hematopoietic Stem Cells	33	PRJNA135475_GSM638311_SPI1_peaks.narrowPeak	Hematopoietic progenitors 
GSM638314	MEIS1	BLOOD	Hematopoietic Stem Cells	34	PRJNA135475_GSM638314_MEIS1_peaks.narrowPeak	Hematopoietic progenitors 
GSM638315	MEIS1	BLOOD	Hematopoietic Stem Cells	34	PRJNA135475_GSM638315_MEIS1_peaks.narrowPeak	Hematopoietic progenitors 
GSM638316	MEIS1	BLOOD	Hematopoietic Stem Cells	34	PRJNA135475_GSM638316_MEIS1_peaks.narrowPeak	Hematopoietic progenitors 
GSM634613	FOXA2	LIVER	Liver	35	PRJNA135749_GSM634613_FOXA2_peaks.narrowPeak	Liver
GSM634614	FOXA2	LIVER	Liver	35	PRJNA135749_GSM634614_FOXA2_peaks.narrowPeak	Liver
GSM634615	FOXA2	LIVER	Liver	35	PRJNA135749_GSM634615_FOXA2_peaks.narrowPeak	Liver
GSM634616	FOXA2	LIVER	Liver	35	PRJNA135749_GSM634616_FOXA2_peaks.narrowPeak	Liver
GSM634629	PPARG	ADIPOCYTE	SGBS	36	PRJNA135749_GSM634629_PPARG_peaks.narrowPeak	Adipocytes
GSM634630	PPARG	ADIPOCYTE	SGBS	36	PRJNA135749_GSM634630_PPARG_peaks.narrowPeak	Adipocytes
GSM651541	CTCF	BLOOD	CD34+	37	PRJNA136673_GSM651541_CTCF_peaks.narrowPeak	Hematopoietic progenitors 
GSM651542	CTCF	BLOOD	CD36+	38	PRJNA136673_GSM651542_CTCF_peaks.narrowPeak	Bone marrow
GSM651543	CTCF	BLOOD	CD36+	38	PRJNA136673_GSM651543_CTCF_peaks.narrowPeak	Bone marrow
GSM651546	GATA1	BLOOD	CD36+	39	PRJNA136673_GSM651546_GATA1_peaks.narrowPeak	Bone marrow
GSM651547	GATA1	BLOOD	CD36+	39	PRJNA136673_GSM651547_GATA1_peaks.narrowPeak	Bone marrow
GSM648587	NFYA	BLOOD	K-562	40	PRJNA136821_GSM648587_NFYA_peaks.narrowPeak	Myeloid
GSM648588	NFYB	BLOOD	K-562	41	PRJNA136821_GSM648588_NFYB_peaks.narrowPeak	Myeloid
GSM700360	ELK4	KIDNEY	293	42	PRJNA137849_GSM700360_ELK4_peaks.narrowPeak	Kidney
GSM700361	ELK4	KIDNEY	293	42	PRJNA137849_GSM700361_ELK4_peaks.narrowPeak	Kidney
GSM763402	BCL6	BLOOD	OCI-LY1	43	PRJNA138597_GSM763402_BCL6_peaks.narrowPeak	B cell
GSM763404	BCL6	BLOOD	OCI-LY1	43	PRJNA138597_GSM763404_BCL6_peaks.narrowPeak	B cell
GSM699634	FOXA1	PROSTATE	LNCAP	44	PRJNA139277_GSM699634_FOXA1_peaks.narrowPeak	Prostate
GSM699635	FOXA1	PROSTATE	LNCAP	44	PRJNA139277_GSM699635_FOXA1_peaks.narrowPeak	Prostate
GSM701863	E2F6	BLOOD	K-562	45	PRJNA139505_GSM701863_E2F6_peaks.narrowPeak	Myeloid
GSM714610	TFAP4	PROSTATE	LNCAP	46	PRJNA140689_GSM714610_TFAP4_peaks.narrowPeak	Prostate
GSM738817	ETV4	PROSTATE	PC-3	47	PRJNA140921_GSM738817_ETV4_peaks.narrowPeak	Prostate
GSM738818	JUND	PROSTATE	PC-3	48	PRJNA140921_GSM738818_JUND_peaks.narrowPeak	Prostate
GSM738821	ETS1	PROSTATE	RWPE-1	49	PRJNA140921_GSM738821_ETS1_peaks.narrowPeak	Prostate
GSM738822	GABPA	PROSTATE	RWPE-1	50	PRJNA140921_GSM738822_GABPA_peaks.narrowPeak	Prostate
GSM738823	ERG	PROSTATE	RWPE-1	51	PRJNA140921_GSM738823_ERG_peaks.narrowPeak	Prostate
GSM738824	ETV1	PROSTATE	RWPE-1	52	PRJNA140921_GSM738824_ETV1_peaks.narrowPeak	Prostate
GSM727559	SMAD3	STEMCELL	hESC H9	53	PRJNA141533_GSM727559_SMAD3_peaks.narrowPeak	Stem cell
GSM727561	SMAD4	STEMCELL	hESC H9	54	PRJNA141533_GSM727561_SMAD4_peaks.narrowPeak	Stem cell
GSM727564	FOXH1	STEMCELL	hESC H9	55	PRJNA141533_GSM727564_FOXH1_peaks.narrowPeak	Stem cell
GSM727585	SMAD3	STEMCELL	hESC derived mesendodermal cells	56	PRJNA141533_GSM727585_SMAD3_peaks.narrowPeak	Mesendoderm
GSM727586	SMAD4	STEMCELL	hESC derived mesendodermal cells	57	PRJNA141533_GSM727586_SMAD4_peaks.narrowPeak	Mesendoderm
GSM727589	FOXH1	STEMCELL	hESC derived mesendodermal cells	58	PRJNA141533_GSM727589_FOXH1_peaks.narrowPeak	Mesendoderm
GSM678268	VDR	BLOOD	THP-1	59	PRJNA141853_GSM678268_VDR_peaks.narrowPeak	Monocyte
GSM678269	VDR	BLOOD	THP-1	59	PRJNA141853_GSM678269_VDR_peaks.narrowPeak	Monocyte
GSM624141	PPARG	BLOOD	THP-1	60	PRJNA142611_GSM624141_PPARG_peaks.narrowPeak	Monocyte
GSM624143	SPI1	BLOOD	THP-1	61	PRJNA142611_GSM624143_SPI1_peaks.narrowPeak	Monocyte
GSM717395	ERG	PROSTATE	VCaP	62	PRJNA142869_GSM717395_ERG_peaks.narrowPeak	Prostate
GSM717396	ERG	PROSTATE	VCaP	62	PRJNA142869_GSM717396_ERG_peaks.narrowPeak	Prostate
GSM717397	ERG	PROSTATE	VCaP	62	PRJNA142869_GSM717397_ERG_peaks.narrowPeak	Prostate
GSM722392	GATA1	BLOOD	CD34+	20	PRJNA142953_GSM722392_GATA1_peaks.narrowPeak	Hematopoietic progenitors 
GSM722393	GATA1	BLOOD	CD34+	20	PRJNA142953_GSM722393_GATA1_peaks.narrowPeak	Hematopoietic progenitors 
GSM722394	GATA1	BLOOD	CD34+	20	PRJNA142953_GSM722394_GATA1_peaks.narrowPeak	Hematopoietic progenitors 
GSM722395	GATA1	BLOOD	CD34+	20	PRJNA142953_GSM722395_GATA1_peaks.narrowPeak	Hematopoietic progenitors 
GSM722396	GATA2	BLOOD	CD34 Hematopoietic stem cells	63	PRJNA142953_GSM722396_GATA2_peaks.narrowPeak	Hematopoietic progenitors 
GSM722412	GATA1	BLOOD	K-562	29	PRJNA142955_GSM722412_GATA1_peaks.narrowPeak	Myeloid
GSM722413	GATA1	BLOOD	K-562	29	PRJNA142955_GSM722413_GATA1_peaks.narrowPeak	Myeloid
GSM722414	GATA2	BLOOD	K-562	64	PRJNA142955_GSM722414_GATA2_peaks.narrowPeak	Myeloid
GSM722415	GATA2	BLOOD	K-562	64	PRJNA142955_GSM722415_GATA2_peaks.narrowPeak	Myeloid
GSM722423	CEBPA	BLOOD	U-937	65	PRJNA142955_GSM722423_CEBPA_peaks.narrowPeak	Lymphocyte
GSM722424	CEBPA	BLOOD	U-937	65	PRJNA142955_GSM722424_CEBPA_peaks.narrowPeak	Lymphocyte
GSM788364	CEBPA	BLOOD	K-562	66	PRJNA142955_GSM788364_CEBPA_peaks.narrowPeak	Myeloid
GSM788367	GATA1	BLOOD	K-562	29	PRJNA142955_GSM788367_GATA1_peaks.narrowPeak	Myeloid
GSM788368	GATA2	BLOOD	K-562	64	PRJNA142955_GSM788368_GATA2_peaks.narrowPeak	Myeloid
GSM788369	CEBPA	BLOOD	U-937	65	PRJNA142955_GSM788369_CEBPA_peaks.narrowPeak	Lymphocyte
GSM722704	RUNX1	BLOOD	Kasumi-1	67	PRJNA142965_GSM722704_RUNX1_peaks.narrowPeak	Myeloid
GSM722705	RUNX1	BLOOD	Kasumi-1	67	PRJNA142965_GSM722705_RUNX1_peaks.narrowPeak	Myeloid
GSM722706	RUNX1	BLOOD	Kasumi-1	67	PRJNA142965_GSM722706_RUNX1_peaks.narrowPeak	Myeloid
GSM722707	RUNX1	BLOOD	Kasumi-1	67	PRJNA142965_GSM722707_RUNX1_peaks.narrowPeak	Myeloid
GSM722708	RUNX1	BLOOD	CD34+	22	PRJNA142965_GSM722708_RUNX1_peaks.narrowPeak	Hematopoietic progenitors 
GSM722168	GATA3	BLOOD	Jurkat (Clone E6-1)	68	PRJNA142977_GSM722168_GATA3_peaks.narrowPeak	T cell
GSM722170	RUNX1	BLOOD	Jurkat (Clone E6-1)	2	PRJNA142977_GSM722170_RUNX1_peaks.narrowPeak	T cell
GSM762707	MYC	BLOOD	RAJI	69	PRJNA144391_GSM762707_MYC_peaks.narrowPeak	B cell
GSM762708	MYC	BLOOD	CA46	70	PRJNA144391_GSM762708_MYC_peaks.narrowPeak	Colon
GSM762709	MYC	BLOOD	BLUE-1	71	PRJNA144391_GSM762709_MYC_peaks.narrowPeak	Bone marrow
GSM762710	MYC	BLOOD	BL-41	72	PRJNA144391_GSM762710_MYC_peaks.narrowPeak	B cell
GSM762711	MYC	BLOOD	RAMOS	73	PRJNA144391_GSM762711_MYC_peaks.narrowPeak	Lymphocyte
GSM791403	VDR	GI	LS-180	74	PRJNA145015_GSM791403_VDR_peaks.narrowPeak	Colon
GSM791404	VDR	GI	LS-180	74	PRJNA145015_GSM791404_VDR_peaks.narrowPeak	Colon
GSM791405	RXRA	GI	LS-180	75	PRJNA145015_GSM791405_RXRA_peaks.narrowPeak	Colon
GSM791406	RXRA	GI	LS-180	75	PRJNA145015_GSM791406_RXRA_peaks.narrowPeak	Colon
GSM791411	CEBPB	GI	LS-180	76	PRJNA145015_GSM791411_CEBPB_peaks.narrowPeak	Colon
GSM791412	CEBPB	GI	LS-180	76	PRJNA145015_GSM791412_CEBPB_peaks.narrowPeak	Colon
GSM791413	CDX2	GI	LS-180	77	PRJNA145015_GSM791413_CDX2_peaks.narrowPeak	Colon
GSM791414	CDX2	GI	LS-180	77	PRJNA145015_GSM791414_CDX2_peaks.narrowPeak	Colon
GSM790207	FLI1	SARCOMA	EWS502	78	PRJNA145117_GSM790207_FLI1_peaks.narrowPeak	Bone
GSM790211	FLI1	VASCULAR	HUVEC	79	PRJNA145117_GSM790211_FLI1_peaks.narrowPeak	Endothelial
GSM785495	SPI1	BLOOD	Monocytes	80	PRJNA145533_GSM785495_SPI1_peaks.narrowPeak	Monocyte
GSM785496	CEBPB	BLOOD	Monocytes	81	PRJNA145533_GSM785496_CEBPB_peaks.narrowPeak	Monocyte
GSM785501	SPI1	BLOOD	Macrophages	82	PRJNA145533_GSM785501_SPI1_peaks.narrowPeak	Macrophage
GSM785502	CEBPB	BLOOD	Macrophages	83	PRJNA145533_GSM785502_CEBPB_peaks.narrowPeak	Macrophage
GSM785503	EGR2	BLOOD	Macrophages	84	PRJNA145533_GSM785503_EGR2_peaks.narrowPeak	Macrophage
GSM785504	EGR2	BLOOD	Macrophages	84	PRJNA145533_GSM785504_EGR2_peaks.narrowPeak	Macrophage
GSM776557	TBX21	BLOOD	Th1 Cells	85	PRJNA146093_GSM776557_TBX21_peaks.narrowPeak	Th1
GSM776558	GATA3	BLOOD	Th1 Cells	86	PRJNA146093_GSM776558_GATA3_peaks.narrowPeak	Th1
GSM776559	GATA3	BLOOD	Th2 Cells	87	PRJNA146093_GSM776559_GATA3_peaks.narrowPeak	Th2
GSM798383	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798383_ESR1_peaks.narrowPeak	Tumor
GSM798384	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798384_ESR1_peaks.narrowPeak	Tumor
GSM798386	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798386_ESR1_peaks.narrowPeak	Tumor
GSM798387	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798387_ESR1_peaks.narrowPeak	Tumor
GSM798388	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798388_ESR1_peaks.narrowPeak	Tumor
GSM798389	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798389_ESR1_peaks.narrowPeak	Tumor
GSM798390	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798390_ESR1_peaks.narrowPeak	Tumor
GSM798391	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798391_ESR1_peaks.narrowPeak	Tumor
GSM798394	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798394_ESR1_peaks.narrowPeak	Tumor
GSM798395	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798395_ESR1_peaks.narrowPeak	Tumor
GSM798396	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798396_ESR1_peaks.narrowPeak	Tumor
GSM798397	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798397_ESR1_peaks.narrowPeak	Tumor
GSM798398	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798398_ESR1_peaks.narrowPeak	Tumor
GSM798399	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798399_ESR1_peaks.narrowPeak	Tumor
GSM798400	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798400_ESR1_peaks.narrowPeak	Tumor
GSM798401	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798401_ESR1_peaks.narrowPeak	Tumor
GSM798402	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798402_ESR1_peaks.narrowPeak	Tumor
GSM798403	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798403_ESR1_peaks.narrowPeak	Tumor
GSM798404	ESR1	BREAST	Tumour tissues	88	PRJNA147213_GSM798404_ESR1_peaks.narrowPeak	Tumor
GSM798423	ESR1	BREAST	MCF-7	11	PRJNA147213_GSM798423_ESR1_peaks.narrowPeak	Breast
GSM798424	ESR1	BREAST	MCF-7	11	PRJNA147213_GSM798424_ESR1_peaks.narrowPeak	Breast
GSM798425	ESR1	BREAST	MCF-7	11	PRJNA147213_GSM798425_ESR1_peaks.narrowPeak	Breast
GSM798426	ESR1	BREAST	ZR-75-1	89	PRJNA147213_GSM798426_ESR1_peaks.narrowPeak	Breast
GSM798427	ESR1	BREAST	ZR-75-1	89	PRJNA147213_GSM798427_ESR1_peaks.narrowPeak	Breast
GSM798428	ESR1	BREAST	T-47D	12	PRJNA147213_GSM798428_ESR1_peaks.narrowPeak	Breast
GSM798429	ESR1	BREAST	T-47D	12	PRJNA147213_GSM798429_ESR1_peaks.narrowPeak	Breast
GSM798430	ESR1	BREAST	BT-474	90	PRJNA147213_GSM798430_ESR1_peaks.narrowPeak	Breast
GSM798431	ESR1	BREAST	BT-474	90	PRJNA147213_GSM798431_ESR1_peaks.narrowPeak	Breast
GSM798432	ESR1	BREAST	MCF-7	11	PRJNA147213_GSM798432_ESR1_peaks.narrowPeak	Breast
GSM798433	ESR1	BREAST	MCF-7	11	PRJNA147213_GSM798433_ESR1_peaks.narrowPeak	Breast
GSM798434	ESR1	BREAST	MCF-7	11	PRJNA147213_GSM798434_ESR1_peaks.narrowPeak	Breast
GSM798435	ESR1	BREAST	MCF-7	11	PRJNA147213_GSM798435_ESR1_peaks.narrowPeak	Breast
GSM798436	FOXA1	BREAST	MCF-7	91	PRJNA147213_GSM798436_FOXA1_peaks.narrowPeak	Breast
GSM798437	FOXA1	BREAST	MCF-7	91	PRJNA147213_GSM798437_FOXA1_peaks.narrowPeak	Breast
GSM798438	FOXA1	BREAST	MCF-7	91	PRJNA147213_GSM798438_FOXA1_peaks.narrowPeak	Breast
GSM798439	FOXA1	BREAST	MCF-7	91	PRJNA147213_GSM798439_FOXA1_peaks.narrowPeak	Breast
GSM804013	GATA1	BLOOD	PBMC	92	PRJNA147759_GSM804013_GATA1_peaks.narrowPeak	PBMC
GSM804014	GATA1	BLOOD	PBMC	92	PRJNA147759_GSM804014_GATA1_peaks.narrowPeak	PBMC
GSM837986	GATA3	BLOOD	CCRF-CEM	93	PRJNA148179_GSM837986_GATA3_peaks.narrowPeak	T cell
GSM837994	RUNX1	BLOOD	CCRF-CEM	94	PRJNA148179_GSM837994_RUNX1_peaks.narrowPeak	T cell
GSM837995	RUNX1	BLOOD	CCRF-CEM	94	PRJNA148179_GSM837995_RUNX1_peaks.narrowPeak	T cell
GSM838675	ATF3	NEURAL	GBM1-HAM	95	PRJNA148249_GSM838675_ATF3_peaks.narrowPeak	Brain
GSM838400	RUNX2	PROSTATE	C4-2	96	PRJNA148325_GSM838400_RUNX2_peaks.narrowPeak	Prostate
GSM856791	ARNT	KIDNEY	786-O	97	PRJNA150099_GSM856791_ARNT_peaks.narrowPeak	Kidney
GSM894058	MYC	BLOOD	P493-6	98	PRJNA153317_GSM894058_MYC_peaks.narrowPeak	B cell
GSM894059	MYC	BLOOD	P493-6	98	PRJNA153317_GSM894059_MYC_peaks.narrowPeak	B cell
GSM894060	MYC	BLOOD	P493-6	98	PRJNA153317_GSM894060_MYC_peaks.narrowPeak	B cell
GSM894061	MYC	NEURAL	U-87 MG	99	PRJNA153317_GSM894061_MYC_peaks.narrowPeak	Brain
GSM894074	MAX	BLOOD	P493-6	100	PRJNA153317_GSM894074_MAX_peaks.narrowPeak	B cell
GSM894075	MAX	BLOOD	P493-6	100	PRJNA153317_GSM894075_MAX_peaks.narrowPeak	B cell
GSM894076	MAX	BLOOD	P493-6	100	PRJNA153317_GSM894076_MAX_peaks.narrowPeak	B cell
GSM894077	MAX	NEURAL	U-87 MG	101	PRJNA153317_GSM894077_MAX_peaks.narrowPeak	Brain
GSM894085	MAX	BLOOD	Multiple Myeloma	102	PRJNA153317_GSM894085_MAX_peaks.narrowPeak	Multiple Myeloma
GSM894098	MYC	LUNG	NCI-H128	103	PRJNA153317_GSM894098_MYC_peaks.narrowPeak	Lung
GSM894099	MAX	LUNG	NCI-H128	104	PRJNA153317_GSM894099_MAX_peaks.narrowPeak	Lung
GSM894102	MYC	LUNG	NCI-H2171	105	PRJNA153317_GSM894102_MYC_peaks.narrowPeak	Lung
GSM894103	MAX	LUNG	NCI-H2171	106	PRJNA153317_GSM894103_MAX_peaks.narrowPeak	Lung
GSM894108	MYC	BLOOD	Multiple Myeloma	107	PRJNA153317_GSM894108_MYC_peaks.narrowPeak	Multiple Myeloma
GSM1000576	MYC	FIBROBLAST	BJ	108	PRJNA153727_GSM1000576_MYC_peaks.narrowPeak	Fibroblast
GSM896986	SOX2	FIBROBLAST	BJ	109	PRJNA153727_GSM896986_SOX2_peaks.narrowPeak	Fibroblast
GSM896987	KLF4	FIBROBLAST	BJ	110	PRJNA153727_GSM896987_KLF4_peaks.narrowPeak	Fibroblast
GSM896988	MYC	FIBROBLAST	BJ	108	PRJNA153727_GSM896988_MYC_peaks.narrowPeak	Fibroblast
GSM897116	SMAD3	STEMCELL	hESC derived mesendodermal cells	56	PRJNA153739_GSM897116_SMAD3_peaks.narrowPeak	Mesendoderm
GSM897117	SMAD3	STEMCELL	hESC derived mesendodermal cells	56	PRJNA153739_GSM897117_SMAD3_peaks.narrowPeak	Mesendoderm
GSM897118	SMAD3	STEMCELL	hESC derived mesendodermal cells	56	PRJNA153739_GSM897118_SMAD3_peaks.narrowPeak	Mesendoderm
GSM779432	GABPA	UTERUS	HeLa	111	PRJNA154023_GSM779432_GABPA_peaks.narrowPeak	Cervix
GSM768310	FOXP1	STEMCELL	hESC H9	112	PRJNA154619_GSM768310_FOXP1_peaks.narrowPeak	Stem cell
GSM768311	FOXP1	STEMCELL	hESC H9	112	PRJNA154619_GSM768311_FOXP1_peaks.narrowPeak	Stem cell
GSM759661	FOXA1	PROSTATE	LNCAP	44	PRJNA154785_GSM759661_FOXA1_peaks.narrowPeak	Prostate
GSM759662	FOXA1	PROSTATE	LNCAP	44	PRJNA154785_GSM759662_FOXA1_peaks.narrowPeak	Prostate
GSM759663	FOXA1	PROSTATE	LNCAP	44	PRJNA154785_GSM759663_FOXA1_peaks.narrowPeak	Prostate
GSM759664	FOXA1	PROSTATE	LNCAP	44	PRJNA154785_GSM759664_FOXA1_peaks.narrowPeak	Prostate
GSM801056	ESR1	BREAST	H3396	113	PRJNA154905_GSM801056_ESR1_peaks.narrowPeak	Breast
GSM801057	ESR1	BREAST	H3396	113	PRJNA154905_GSM801057_ESR1_peaks.narrowPeak	Breast
GSM743039	CDX2	GI	COLO 320	114	PRJNA155363_GSM743039_CDX2_peaks.narrowPeak	Colon
GSM743040	CDX2	GI	COLO 320	114	PRJNA155363_GSM743040_CDX2_peaks.narrowPeak	Colon
